1	ERR9594652.83	227984	288	0.196181	0.239583	9	no rank	227984:9 
0	ERR9594652.84	0	288	0	0	0	no rank	
1	ERR9594652.85	227984	288	0.828125	0.947917	23	no rank	227984:70 
0	ERR9594652.86	0	288	0	0	0	no rank	
1	ERR9594652.87	227984	288	0.53125	0.635417	20	no rank	227984:47 
1	ERR9594652.88	227984	288	0.416667	0.541667	24	no rank	227984:38 
1	ERR9594652.89	227984	288	0.854167	0.979167	24	no rank	227984:80 
1	ERR9594652.90	227984	288	0.779514	1	43	no rank	227984:82 
1	ERR9594652.91	227984	288	0.190972	0.239583	10	no rank	227984:9 
1	ERR9594652.92	227984	288	0.21875	0.270833	10	no rank	227984:12 
1	ERR9594652.93	227984	288	0.307292	0.375	13	no rank	227984:22 
1	ERR9594652.94	227984	288	0.21875	0.25	6	no rank	227984:10 
1	ERR9594652.95	227984	288	0.506944	0.583333	16	no rank	227984:42 
1	ERR9594652.96	227984	288	0.317708	0.34375	5	no rank	227984:19 
0	ERR9594652.97	0	288	0	0	0	no rank	
1	ERR9594652.98	227984	288	0.375	0.5	24	no rank	227984:20 
0	ERR9594652.99	0	288	0	0	0	no rank	
0	ERR9594652.100	0	288	0	0	0	no rank	
1	ERR9594652.101	227984	288	0.734375	0.760417	5	no rank	227984:45 
1	ERR9594652.102	227984	288	0.618056	0.75	26	no rank	227984:51 
1	ERR9594652.103	227984	288	0.109375	0.125	3	no rank	227984:5 
1	ERR9594652.104	227984	288	0.211806	0.260417	10	no rank	227984:18 
1	ERR9594652.105	227984	288	0.734375	0.927083	37	no rank	227984:75 
1	ERR9594652.106	227984	288	0.465278	0.625	32	no rank	227984:32 
0	ERR9594652.107	0	288	0	0	0	no rank	
1	ERR9594652.108	227984	288	0.236111	0.3125	16	no rank	227984:16 
0	ERR9594652.109	0	288	0	0	0	no rank	
1	ERR9594652.110	227984	288	0.222222	0.25	6	no rank	227984:10 
1	ERR9594652.111	227984	288	0.354167	0.375	4	no rank	227984:22 
1	ERR9594652.112	227984	288	0.390625	0.427083	7	no rank	227984:20 
1	ERR9594652.113	227984	288	0.309028	0.395833	18	no rank	227984:24 
0	ERR9594652.114	0	288	0	0	0	no rank	
1	ERR9594652.115	227984	288	0.289931	0.364583	15	no rank	227984:14 
1	ERR9594652.116	227984	288	0.381944	0.447917	14	no rank	227984:29 
1	ERR9594652.117	227984	288	0.871528	0.989583	24	no rank	227984:74 
1	ERR9594652.118	227984	288	0.486111	0.604167	26	no rank	227984:37 
1	ERR9594652.119	227984	288	0.177083	0.177083	0	no rank	227984:10 
1	ERR9594652.120	227984	288	0.649306	0.760417	24	no rank	227984:52 
1	ERR9594652.121	227984	288	0.458333	0.5625	20	no rank	227984:40 
0	ERR9594652.122	0	288	0	0	0	no rank	
1	ERR9594652.123	227984	288	0.692708	0.708333	3	no rank	227984:47 
1	ERR9594652.124	227984	288	0.28125	0.354167	14	no rank	227984:20 
0	ERR9594652.125	0	288	0	0	0	no rank	
1	ERR9594652.126	227984	288	0.855903	0.96875	23	no rank	227984:79 
0	ERR9594652.127	0	288	0	0	0	no rank	
1	ERR9594652.128	227984	288	0.631944	0.833333	40	no rank	227984:52 
1	ERR9594652.129	227984	288	0.831597	0.875	9	no rank	227984:56 
1	ERR9594652.130	227984	288	0.671875	0.885417	43	no rank	227984:57 
0	ERR9594652.131	0	288	0	0	0	no rank	
0	ERR9594652.132	0	288	0	0	0	no rank	
0	ERR9594652.133	0	288	0	0	0	no rank	
0	ERR9594652.134	0	288	0	0	0	no rank	
1	ERR9594652.135	227984	288	0.125	0.145833	4	no rank	227984:7 
0	ERR9594652.136	0	288	0	0	0	no rank	
1	ERR9594652.137	227984	288	0.770833	0.895833	24	no rank	227984:65 
1	ERR9594652.138	227984	288	0.364583	0.364583	0	no rank	227984:21 
1	ERR9594652.139	227984	288	0.270833	0.270833	0	no rank	227984:12 
1	ERR9594652.140	227984	288	0.630208	0.833333	43	no rank	227984:59 
1	ERR9594652.141	227984	288	0.864583	0.989583	24	no rank	227984:81 
1	ERR9594652.142	227984	288	0.166667	0.166667	0	no rank	227984:9 
1	ERR9594652.143	227984	288	0.65625	0.854167	42	no rank	227984:68 
1	ERR9594652.144	227984	288	0.819444	0.958333	28	no rank	227984:78 
1	ERR9594652.145	227984	288	0.746528	0.9375	38	no rank	227984:76 
1	ERR9594652.146	227984	288	0.635417	0.875	48	no rank	227984:49 
1	ERR9594652.147	227984	288	0.553819	0.739583	37	no rank	227984:50 
1	ERR9594652.148	227984	288	0.260417	0.322917	12	no rank	227984:17 
1	ERR9594652.149	227984	288	0.409722	0.489583	16	no rank	227984:33 
0	ERR9594652.150	0	288	0	0	0	no rank	
1	ERR9594652.151	227984	288	0.276042	0.34375	13	no rank	227984:19 
1	ERR9594652.152	227984	288	0.333333	0.385417	10	no rank	227984:16 
1	ERR9594652.153	227984	288	0.748264	0.916667	33	no rank	227984:74 
1	ERR9594652.154	227984	288	0.788194	0.979167	38	no rank	227984:66 
1	ERR9594652.155	227984	288	0.078125	0.114583	7	no rank	227984:4 
1	ERR9594652.156	227984	288	0.253472	0.28125	6	no rank	227984:13 
1	ERR9594652.157	227984	288	0.135417	0.135417	0	no rank	227984:6 
1	ERR9594652.158	227984	288	0.758681	0.979167	43	no rank	227984:66 
1	ERR9594652.159	227984	288	0.845486	1	31	no rank	227984:82 
1	ERR9594652.160	227984	288	0.15625	0.15625	0	no rank	227984:8 
1	ERR9594652.161	227984	288	0.130208	0.15625	5	no rank	227984:8 
0	ERR9594652.162	0	288	0	0	0	no rank	
1	ERR9594652.163	227984	288	0.541667	0.666667	24	no rank	227984:50 
1	ERR9594652.164	227984	288	0.559028	0.760417	40	no rank	227984:45 
0	ERR9594652.165	0	288	0	0	0	no rank	
1	ERR9594652.166	227984	288	0.34375	0.395833	10	no rank	227984:17 
1	ERR9594652.167	227984	288	0.642361	0.875	46	no rank	227984:56 
1	ERR9594652.168	227984	288	0.527778	0.666667	28	no rank	227984:43 
0	ERR9594652.169	0	288	0	0	0	no rank	
0	ERR9594652.170	0	288	0	0	0	no rank	
1	ERR9594652.171	227984	288	0.0763889	0.125	10	no rank	227984:5 
0	ERR9594652.172	0	288	0	0	0	no rank	
1	ERR9594652.173	227984	288	0.0954861	0.135417	9	no rank	227984:6 
1	ERR9594652.174	227984	288	0.291667	0.291667	0	no rank	227984:14 
1	ERR9594652.175	227984	288	0.513889	0.583333	14	no rank	227984:35 
1	ERR9594652.176	227984	288	0.840278	1	32	no rank	227984:82 
1	ERR9594652.177	227984	288	0.125	0.125	0	no rank	227984:5 
1	ERR9594652.178	227984	288	0.730903	0.864583	27	no rank	227984:69 
1	ERR9594652.179	227984	288	0.803819	1	39	no rank	227984:82 
1	ERR9594652.180	227984	288	0.185764	0.239583	13	no rank	227984:16 
1	ERR9594652.181	227984	288	0.15625	0.229167	14	no rank	227984:8 
0	ERR9594652.182	0	288	0	0	0	no rank	
1	ERR9594652.183	227984	288	0.286458	0.364583	15	no rank	227984:14 
1	ERR9594652.184	227984	288	0.625	0.770833	30	no rank	227984:60 
1	ERR9594652.185	227984	288	0.510417	0.666667	30	no rank	227984:36 
1	ERR9594652.186	227984	288	0.0868056	0.114583	6	no rank	227984:4 
1	ERR9594652.187	227984	288	0.6875	0.791667	20	no rank	227984:48 
0	ERR9594652.188	0	288	0	0	0	no rank	
1	ERR9594652.189	227984	288	0.336806	0.458333	26	no rank	227984:30 
0	ERR9594652.190	0	288	0	0	0	no rank	
1	ERR9594652.191	227984	288	0.25	0.291667	8	no rank	227984:14 
